期号,数字,触发极冷位置,触发位置遗漏期数,其他位置1,位置1遗漏期数,其他位置2,位置2遗漏期数
10007,0,百位,1667,十位,14,个位,23
10008,0,百位,1668,十位,15,个位,24
10010,0,百位,1669,十位,16,个位,25
10011,0,百位,1670,十位,17,个位,26
10013,0,百位,1671,十位,18,个位,0
10014,0,百位,1672,十位,19,个位,1
10015,0,百位,1673,十位,20,个位,2
10016,0,百位,1674,十位,21,个位,3
10017,0,百位,1675,十位,0,个位,4
10018,0,百位,1676,十位,1,个位,5
10019,0,百位,1677,十位,2,个位,6
10020,0,百位,1678,十位,3,个位,7
10022,0,百位,1679,十位,4,个位,0
10023,0,百位,1680,十位,5,个位,0
10024,0,百位,1681,十位,6,个位,1
10025,0,百位,1682,十位,7,个位,2
10026,0,百位,1683,十位,8,个位,3
10027,0,百位,1684,十位,9,个位,4
10028,0,百位,1685,十位,0,个位,0
10029,0,百位,1686,十位,1,个位,1
10030,0,百位,1687,十位,2,个位,0
10033,0,百位,1688,十位,0,个位,1
10034,0,百位,1689,十位,1,个位,2
10035,0,百位,1690,十位,2,个位,3
10036,0,百位,1691,十位,3,个位,4
10037,0,百位,1692,十位,4,个位,5
10038,0,百位,1693,十位,5,个位,6
10039,0,百位,1694,十位,6,个位,7
10040,0,百位,1695,十位,7,个位,8
10041,0,百位,1696,十位,0,个位,9
10042,0,百位,1697,十位,1,个位,10
10043,0,百位,1698,十位,0,个位,11
10044,0,百位,1699,十位,0,个位,12
10045,0,百位,1700,十位,1,个位,13
10046,0,百位,1701,十位,2,个位,14
10047,0,百位,1702,十位,3,个位,15
10048,0,百位,1703,十位,0,个位,0
10049,0,百位,1704,十位,1,个位,1
10050,0,百位,1705,十位,2,个位,2
10051,0,百位,1706,十位,3,个位,3
10052,0,百位,1707,十位,4,个位,4
10053,0,百位,1708,十位,0,个位,5
10054,0,百位,1709,十位,1,个位,6
10055,0,百位,1710,十位,2,个位,7
10056,0,百位,1711,十位,3,个位,0
10057,0,百位,1712,十位,4,个位,1
10058,0,百位,1713,十位,5,个位,2
10059,0,百位,1714,十位,6,个位,3
10060,0,百位,1715,十位,7,个位,4
10061,0,百位,1716,十位,8,个位,0
10062,0,百位,1717,十位,0,个位,1
10063,0,百位,1718,十位,1,个位,2
10064,0,百位,1719,十位,2,个位,3
10065,0,百位,1720,十位,3,个位,4
10066,0,百位,1721,十位,0,个位,5
10067,0,百位,1722,十位,1,个位,0
10068,0,百位,1723,十位,2,个位,1
10069,0,百位,1724,十位,3,个位,2
10070,0,百位,1725,十位,4,个位,3
10071,0,百位,1726,十位,5,个位,4
10072,0,百位,1727,十位,6,个位,5
10073,0,百位,1728,十位,7,个位,0
10074,0,百位,1729,十位,8,个位,1
10075,0,百位,1730,十位,9,个位,2
10076,0,百位,1731,十位,10,个位,3
10077,0,百位,1732,十位,11,个位,4
10077,3,个位,56,百位,2,十位,20
10079,0,百位,1733,十位,12,个位,5
10079,3,个位,57,百位,3,十位,21
10080,0,百位,1734,十位,13,个位,6
10080,3,个位,58,百位,4,十位,22
10081,0,百位,1735,十位,14,个位,7
10081,3,个位,59,百位,5,十位,23
10082,0,百位,1736,十位,15,个位,8
10082,3,个位,60,百位,6,十位,24
10083,0,百位,1737,十位,0,个位,9
10083,3,个位,61,百位,7,十位,25
10084,0,百位,1738,十位,1,个位,10
10084,3,个位,62,百位,8,十位,26
10085,0,百位,1739,十位,2,个位,11
10085,3,个位,63,百位,9,十位,27
10086,0,百位,1740,十位,3,个位,12
10086,3,个位,64,百位,10,十位,28
10087,0,百位,1741,十位,4,个位,13
10087,3,个位,65,百位,11,十位,29
10088,0,百位,1742,十位,5,个位,14
10088,3,个位,66,百位,12,十位,30
10089,0,百位,1743,十位,0,个位,15
10089,3,个位,67,百位,13,十位,31
10090,0,百位,1744,十位,1,个位,16
10090,3,个位,68,百位,14,十位,32
10092,0,百位,1745,十位,2,个位,0
10092,3,个位,69,百位,15,十位,33
10093,0,百位,1746,十位,0,个位,1
10093,3,个位,70,百位,0,十位,34
10094,0,百位,1747,十位,1,个位,2
10094,3,个位,71,百位,1,十位,35
10095,0,百位,1748,十位,2,个位,3
10095,3,个位,72,百位,2,十位,36
10097,0,百位,1749,十位,3,个位,0
10097,3,个位,73,百位,3,十位,37
10098,0,百位,1750,十位,4,个位,1
10098,3,个位,74,百位,4,十位,38
10099,0,百位,1751,十位,5,个位,2
10099,3,个位,75,百位,5,十位,0
10100,0,百位,1752,十位,6,个位,3
10100,3,个位,76,百位,6,十位,1
10101,0,百位,1753,十位,7,个位,4
10101,3,个位,77,百位,7,十位,2
10102,0,百位,1754,十位,8,个位,5
10103,0,百位,1755,十位,9,个位,6
10104,0,百位,1756,十位,10,个位,7
10105,0,百位,1757,十位,11,个位,8
10106,0,百位,1758,十位,12,个位,9
10108,0,百位,1759,十位,13,个位,10
10109,0,百位,1760,十位,14,个位,0
10110,0,百位,1761,十位,15,个位,1
10111,0,百位,1762,十位,16,个位,2
10112,0,百位,1763,十位,17,个位,3
10113,0,百位,1764,十位,18,个位,4
10114,0,百位,1765,十位,19,个位,5
10115,0,百位,1766,十位,20,个位,0
10116,0,百位,1767,十位,21,个位,1
10117,0,百位,1768,十位,0,个位,2
10118,0,百位,1769,十位,1,个位,3
10119,0,百位,1770,十位,2,个位,4
10120,0,百位,1771,十位,3,个位,5
10121,0,百位,1772,十位,4,个位,6
10122,0,百位,1773,十位,5,个位,7
10123,0,百位,1774,十位,6,个位,8
10124,0,百位,1775,十位,7,个位,9
10125,0,百位,1776,十位,8,个位,10
10126,0,百位,1777,十位,9,个位,11
10127,0,百位,1778,十位,10,个位,12
10128,0,百位,1779,十位,11,个位,13
10129,0,百位,1780,十位,12,个位,14
10130,0,百位,1781,十位,0,个位,15
10131,0,百位,1782,十位,1,个位,16
10132,0,百位,1783,十位,2,个位,17
10133,0,百位,1784,十位,3,个位,18
10134,0,百位,1785,十位,4,个位,19
10135,0,百位,1786,十位,5,个位,20
10136,0,百位,1787,十位,0,个位,21
10137,0,百位,1788,十位,1,个位,22
10138,0,百位,1789,十位,2,个位,23
10140,0,百位,1790,十位,3,个位,24
10141,0,百位,1791,十位,4,个位,25
10142,0,百位,1792,十位,5,个位,26
10143,0,百位,1793,十位,6,个位,27
10144,0,百位,1794,十位,7,个位,0
10145,0,百位,1795,十位,8,个位,1
10146,0,百位,1796,十位,9,个位,2
10148,0,百位,1797,十位,10,个位,3
10149,0,百位,1798,十位,11,个位,4
10150,0,百位,1799,十位,12,个位,5
10151,0,百位,1800,十位,0,个位,6
10152,0,百位,1801,十位,0,个位,7
10155,0,百位,1802,十位,1,个位,8
10156,0,百位,1803,十位,2,个位,9
10157,0,百位,1804,十位,3,个位,10
10158,0,百位,1805,十位,0,个位,11
10159,0,百位,1806,十位,1,个位,0
10160,0,百位,1807,十位,2,个位,1
10161,0,百位,1808,十位,3,个位,2
10163,0,百位,1809,十位,4,个位,3
10164,0,百位,1810,十位,5,个位,4
10165,0,百位,1811,十位,6,个位,5
10166,0,百位,1812,十位,7,个位,6
10168,0,百位,1813,十位,8,个位,7
10169,0,百位,1814,十位,9,个位,8
10170,0,百位,1815,十位,10,个位,9
10171,0,百位,1816,十位,11,个位,10
10172,0,百位,1817,十位,0,个位,11
10173,0,百位,1818,十位,1,个位,12
10174,0,百位,1819,十位,0,个位,13
10175,0,百位,1820,十位,1,个位,14
10176,0,百位,1821,十位,2,个位,15
10177,0,百位,1822,十位,3,个位,0
10178,0,百位,1823,十位,4,个位,1
10179,0,百位,1824,十位,5,个位,2
10181,0,百位,1825,十位,6,个位,3
10182,0,百位,1826,十位,0,个位,4
10183,0,百位,1827,十位,1,个位,5
10184,0,百位,1828,十位,2,个位,6
10185,0,百位,1829,十位,3,个位,0
10186,0,百位,1830,十位,4,个位,1
10187,0,百位,1831,十位,5,个位,2
10188,0,百位,1832,十位,6,个位,3
10189,0,百位,1833,十位,7,个位,4
10190,0,百位,1834,十位,8,个位,5
10191,0,百位,1835,十位,9,个位,6
10192,0,百位,1836,十位,10,个位,7
10193,0,百位,1837,十位,11,个位,8
10194,0,百位,1838,十位,12,个位,9
10195,0,百位,1839,十位,13,个位,10
10197,0,百位,1840,十位,0,个位,11
10198,0,百位,1841,十位,1,个位,12
10199,0,百位,1842,十位,2,个位,13
10200,0,百位,1843,十位,3,个位,14
10201,0,百位,1844,十位,0,个位,15
10203,0,百位,1845,十位,1,个位,0
10206,0,百位,1846,十位,0,个位,1
10207,0,百位,1847,十位,1,个位,2
10208,0,百位,1848,十位,2,个位,3
10210,0,百位,1849,十位,3,个位,4
10211,0,百位,1850,十位,0,个位,5
10212,0,百位,1851,十位,1,个位,6
10213,0,百位,1852,十位,2,个位,7
10214,0,百位,1853,十位,3,个位,8
10215,0,百位,1854,十位,4,个位,9
10216,0,百位,1855,十位,5,个位,10
10217,0,百位,1856,十位,6,个位,11
10218,0,百位,1857,十位,7,个位,12
10219,0,百位,1858,十位,8,个位,13
10220,0,百位,1859,十位,9,个位,14
10221,0,百位,1860,十位,10,个位,15
10222,0,百位,1861,十位,11,个位,16
10223,0,百位,1862,十位,12,个位,0
10224,0,百位,1863,十位,13,个位,1
10225,0,百位,1864,十位,14,个位,2
10226,0,百位,1865,十位,15,个位,3
10227,0,百位,1866,十位,0,个位,4
10228,0,百位,1867,十位,1,个位,5
10229,0,百位,1868,十位,2,个位,6
10230,0,百位,1869,十位,3,个位,7
10232,0,百位,1870,十位,4,个位,8
10233,0,百位,1871,十位,5,个位,9
10234,0,百位,1872,十位,6,个位,10
10235,0,百位,1873,十位,7,个位,11
10236,0,百位,1874,十位,0,个位,0
10237,0,百位,1875,十位,1,个位,1
10238,0,百位,1876,十位,0,个位,2
10239,0,百位,1877,十位,1,个位,3
10240,0,百位,1878,十位,2,个位,4
10241,0,百位,1879,十位,3,个位,5
10243,0,百位,1880,十位,4,个位,6
10244,0,百位,1881,十位,5,个位,7
10245,0,百位,1882,十位,6,个位,8
10246,0,百位,1883,十位,7,个位,9
10247,0,百位,1884,十位,8,个位,0
10248,0,百位,1885,十位,9,个位,1
10249,0,百位,1886,十位,0,个位,2
10251,0,百位,1887,十位,1,个位,3
10252,0,百位,1888,十位,2,个位,4
10253,0,百位,1889,十位,3,个位,5
10254,0,百位,1890,十位,4,个位,6
10255,0,百位,1891,十位,5,个位,7
10256,0,百位,1892,十位,6,个位,8
10257,0,百位,1893,十位,7,个位,9
10258,0,百位,1894,十位,8,个位,10
10259,0,百位,1895,十位,9,个位,11
10260,0,百位,1896,十位,10,个位,12
10261,0,百位,1897,十位,11,个位,13
10262,0,百位,1898,十位,12,个位,14
10263,0,百位,1899,十位,13,个位,15
10264,0,百位,1900,十位,14,个位,16
10265,0,百位,1901,十位,15,个位,17
10266,0,百位,1902,十位,16,个位,18
10267,0,百位,1903,十位,17,个位,19
10268,0,百位,1904,十位,0,个位,20
10269,0,百位,1905,十位,1,个位,21
10270,0,百位,1906,十位,2,个位,22
10271,0,百位,1907,十位,3,个位,23
10272,0,百位,1908,十位,4,个位,24
10273,0,百位,1909,十位,5,个位,0
10274,0,百位,1910,十位,6,个位,1
10275,0,百位,1911,十位,7,个位,2
10276,0,百位,1912,十位,8,个位,0
10277,0,百位,1913,十位,9,个位,0
10278,0,百位,1914,十位,10,个位,1
10279,0,百位,1915,十位,11,个位,2
10280,0,百位,1916,十位,12,个位,3
10281,0,百位,1917,十位,13,个位,4
10282,0,百位,1918,十位,14,个位,5
10284,0,百位,1919,十位,15,个位,6
10285,0,百位,1920,十位,16,个位,0
10286,0,百位,1921,十位,17,个位,1
10287,0,百位,1922,十位,18,个位,0
10288,0,百位,1923,十位,19,个位,1
10289,0,百位,1924,十位,20,个位,0
10290,0,百位,1925,十位,21,个位,1
10291,0,百位,1926,十位,22,个位,2
10292,0,百位,1927,十位,23,个位,0
10293,0,百位,1928,十位,24,个位,1
10295,0,百位,1929,十位,25,个位,2
10296,0,百位,1930,十位,26,个位,3
10297,0,百位,1931,十位,27,个位,4
10298,0,百位,1932,十位,28,个位,0
10299,0,百位,1933,十位,29,个位,1
10300,0,百位,1934,十位,30,个位,2
10301,0,百位,1935,十位,31,个位,3
10304,0,百位,1936,十位,32,个位,4
10305,0,百位,1937,十位,33,个位,5
10306,0,百位,1938,十位,34,个位,6
10307,0,百位,1939,十位,0,个位,7
10308,0,百位,1940,十位,1,个位,8
10310,0,百位,1941,十位,2,个位,9
10311,0,百位,1942,十位,3,个位,10
10312,0,百位,1943,十位,4,个位,11
10313,0,百位,1944,十位,5,个位,12
10314,0,百位,1945,十位,6,个位,13
10316,0,百位,1946,十位,7,个位,14
10317,0,百位,1947,十位,8,个位,15
10318,0,百位,1948,十位,9,个位,16
10319,0,百位,1949,十位,10,个位,17
10320,0,百位,1950,十位,11,个位,18
10322,0,百位,1951,十位,12,个位,19
10323,0,百位,1952,十位,13,个位,0
10324,0,百位,1953,十位,14,个位,1
10325,0,百位,1954,十位,15,个位,2
10326,0,百位,1955,十位,16,个位,3
10327,0,百位,1956,十位,17,个位,4
10328,0,百位,1957,十位,18,个位,5
10329,0,百位,1958,十位,19,个位,6
10330,0,百位,1959,十位,20,个位,7
10331,0,百位,1960,十位,21,个位,8
10332,0,百位,1961,十位,22,个位,9
10333,0,百位,1962,十位,23,个位,10
10334,0,百位,1963,十位,24,个位,11
10335,0,百位,1964,十位,25,个位,12
10336,0,百位,1965,十位,26,个位,13
10337,0,百位,1966,十位,27,个位,14
10338,0,百位,1967,十位,28,个位,15
10339,0,百位,1968,十位,29,个位,16
10341,0,百位,1969,十位,30,个位,17
10342,0,百位,1970,十位,31,个位,18
10343,0,百位,1971,十位,32,个位,19
10344,0,百位,1972,十位,33,个位,20
10345,0,百位,1973,十位,34,个位,21
10346,0,百位,1974,十位,35,个位,22
10347,0,百位,1975,十位,36,个位,23
10348,0,百位,1976,十位,37,个位,24
10349,0,百位,1977,十位,38,个位,25
10350,0,百位,1978,十位,39,个位,0
10351,0,百位,1979,十位,40,个位,0
10352,0,百位,1980,十位,41,个位,1
10353,0,百位,1981,十位,42,个位,2
10354,0,百位,1982,十位,43,个位,3
10355,0,百位,1983,十位,44,个位,4
10356,0,百位,1984,十位,45,个位,5
10357,0,百位,1985,十位,46,个位,6
10358,0,百位,1986,十位,47,个位,7
11001,0,百位,1987,十位,48,个位,8
11002,0,百位,1988,十位,49,个位,9
11003,0,百位,1989,十位,50,个位,10
11004,0,百位,1990,十位,51,个位,11
11005,0,百位,1991,十位,52,个位,0
11006,0,百位,1992,十位,53,个位,1
11007,0,百位,1993,十位,54,个位,2
11008,0,百位,1994,十位,55,个位,3
11009,0,百位,1995,十位,56,个位,4
11010,0,百位,1996,十位,57,个位,5
11011,0,百位,1997,十位,58,个位,6
11012,0,百位,1998,十位,0,个位,7
11013,0,百位,1999,十位,1,个位,8
11014,0,百位,2000,十位,2,个位,9
11015,0,百位,2001,十位,3,个位,0
11016,0,百位,2002,十位,4,个位,1
11017,0,百位,2003,十位,5,个位,2
11018,0,百位,2004,十位,6,个位,3
11019,0,百位,2005,十位,0,个位,4
11020,0,百位,2006,十位,1,个位,5
11021,0,百位,2007,十位,2,个位,6
11021,2,百位,56,十位,1,个位,9
11023,0,百位,2008,十位,3,个位,7
11023,2,百位,57,十位,2,个位,10
11024,0,百位,2009,十位,4,个位,8
11024,2,百位,58,十位,3,个位,11
11025,0,百位,2010,十位,5,个位,9
11025,2,百位,59,十位,4,个位,12
11026,0,百位,2011,十位,6,个位,10
11026,2,百位,60,十位,5,个位,0
11027,0,百位,2012,十位,7,个位,11
11027,2,百位,61,十位,6,个位,1
11028,0,百位,2013,十位,8,个位,12
11029,0,百位,2014,十位,9,个位,13
11030,0,百位,2015,十位,10,个位,14
11031,0,百位,2016,十位,11,个位,15
11032,0,百位,2017,十位,12,个位,16
11034,0,百位,2018,十位,13,个位,17
11035,0,百位,2019,十位,14,个位,18
11036,0,百位,2020,十位,15,个位,19
11037,0,百位,2021,十位,16,个位,20
11039,0,百位,2022,十位,0,个位,21
11040,0,百位,2023,十位,1,个位,0
11041,0,百位,2024,十位,2,个位,1
11042,0,百位,2025,十位,3,个位,2
11043,0,百位,2026,十位,4,个位,3
11044,0,百位,2027,十位,5,个位,4
11045,0,百位,2028,十位,6,个位,5
11046,0,百位,2029,十位,7,个位,6
11047,0,百位,2030,十位,0,个位,7
11048,0,百位,2031,十位,1,个位,8
11049,0,百位,2032,十位,2,个位,9
11051,0,百位,2033,十位,3,个位,10
11052,0,百位,2034,十位,4,个位,11
11053,0,百位,2035,十位,0,个位,12
11054,0,百位,2036,十位,1,个位,13
11055,0,百位,2037,十位,2,个位,0
11056,0,百位,2038,十位,3,个位,1
11057,0,百位,2039,十位,0,个位,2
11058,0,百位,2040,十位,1,个位,3
11059,0,百位,2041,十位,2,个位,4
11060,0,百位,2042,十位,3,个位,5
11061,0,百位,2043,十位,4,个位,6
11062,0,百位,2044,十位,5,个位,7
11063,0,百位,2045,十位,6,个位,8
11064,0,百位,2046,十位,7,个位,9
11065,0,百位,2047,十位,8,个位,0
11067,0,百位,2048,十位,9,个位,1
11068,0,百位,2049,十位,10,个位,2
11069,0,百位,2050,十位,0,个位,0
11070,0,百位,2051,十位,1,个位,1
11072,0,百位,2052,十位,2,个位,2
11074,0,百位,2053,十位,3,个位,3
11075,0,百位,2054,十位,4,个位,4
11076,0,百位,2055,十位,5,个位,5
11077,0,百位,2056,十位,6,个位,6
11078,0,百位,2057,十位,7,个位,7
11079,0,百位,2058,十位,8,个位,8
11080,0,百位,2059,十位,9,个位,9
11081,0,百位,2060,十位,10,个位,10
11082,0,百位,2061,十位,11,个位,11
11083,0,百位,2062,十位,12,个位,12
11084,0,百位,2063,十位,13,个位,13
11085,0,百位,2064,十位,14,个位,14
11086,0,百位,2065,十位,15,个位,15
11088,0,百位,2066,十位,16,个位,16
11089,0,百位,2067,十位,17,个位,0
11091,0,百位,2068,十位,18,个位,1
11092,0,百位,2069,十位,19,个位,2
11093,0,百位,2070,十位,20,个位,3
11094,0,百位,2071,十位,0,个位,0
11095,0,百位,2072,十位,1,个位,1
11097,0,百位,2073,十位,2,个位,2
11098,0,百位,2074,十位,3,个位,3
11099,0,百位,2075,十位,4,个位,4
11100,0,百位,2076,十位,5,个位,5
11101,0,百位,2077,十位,6,个位,6
11102,0,百位,2078,十位,7,个位,7
11103,0,百位,2079,十位,0,个位,8
11104,0,百位,2080,十位,1,个位,9
11105,0,百位,2081,十位,2,个位,10
11106,0,百位,2082,十位,0,个位,0
11107,0,百位,2083,十位,1,个位,0
11108,0,百位,2084,十位,2,个位,1
11109,0,百位,2085,十位,3,个位,0
11110,0,百位,2086,十位,4,个位,1
11111,0,百位,2087,十位,5,个位,2
11113,0,百位,2088,十位,6,个位,3
11114,0,百位,2089,十位,7,个位,4
11115,0,百位,2090,十位,8,个位,5
11116,0,百位,2091,十位,9,个位,6
11117,0,百位,2092,十位,10,个位,0
11119,0,百位,2093,十位,0,个位,1
11120,0,百位,2094,十位,1,个位,2
11121,0,百位,2095,十位,2,个位,3
11123,0,百位,2096,十位,3,个位,4
11124,0,百位,2097,十位,4,个位,5
11125,0,百位,2098,十位,5,个位,6
11126,0,百位,2099,十位,6,个位,7
11127,0,百位,2100,十位,7,个位,8
11127,6,个位,56,百位,4,十位,44
11128,0,百位,2101,十位,8,个位,9
11128,6,个位,57,百位,5,十位,45
11129,0,百位,2102,十位,9,个位,10
11129,6,个位,58,百位,6,十位,46
11131,0,百位,2103,十位,10,个位,0
11131,6,个位,59,百位,7,十位,47
11132,0,百位,2104,十位,11,个位,1
11132,6,个位,60,百位,8,十位,48
11133,0,百位,2105,十位,12,个位,2
11133,1,十位,56,百位,30,个位,18
11133,6,个位,61,百位,0,十位,49
11134,0,百位,2106,十位,13,个位,3
11134,1,十位,57,百位,31,个位,19
11134,6,个位,62,百位,1,十位,50
11135,0,百位,2107,十位,14,个位,4
11135,6,个位,63,百位,2,十位,51
11136,0,百位,2108,十位,15,个位,5
11136,6,个位,64,百位,3,十位,52
11137,0,百位,2109,十位,16,个位,6
11138,0,百位,2110,十位,17,个位,7
11139,0,百位,2111,十位,0,个位,8
11140,0,百位,2112,十位,1,个位,9
11140,6,十位,56,百位,7,个位,3
11141,0,百位,2113,十位,0,个位,10
11141,6,十位,57,百位,8,个位,4
11142,0,百位,2114,十位,1,个位,11
11142,6,十位,58,百位,0,个位,5
11144,0,百位,2115,十位,2,个位,12
11144,6,十位,59,百位,1,个位,6
11145,0,百位,2116,十位,3,个位,13
11145,6,十位,60,百位,2,个位,7
11146,0,百位,2117,十位,0,个位,14
11146,6,十位,61,百位,3,个位,8
11147,0,百位,2118,十位,1,个位,15
11147,6,十位,62,百位,4,个位,9
11148,0,百位,2119,十位,2,个位,16
11148,6,十位,63,百位,5,个位,10
11149,0,百位,2120,十位,3,个位,17
11149,6,十位,64,百位,6,个位,11
11150,0,百位,2121,十位,4,个位,18
11150,6,十位,65,百位,7,个位,12
11151,0,百位,2122,十位,5,个位,19
11152,0,百位,2123,十位,6,个位,20
11153,0,百位,2124,十位,7,个位,21
11154,0,百位,2125,十位,8,个位,22
11155,0,百位,2126,十位,9,个位,23
11156,0,百位,2127,十位,10,个位,24
11157,0,百位,2128,十位,11,个位,25
11158,0,百位,2129,十位,12,个位,26
11159,0,百位,2130,十位,0,个位,27
11160,0,百位,2131,十位,1,个位,28
11161,0,百位,2132,十位,2,个位,29
11162,0,百位,2133,十位,3,个位,30
11163,0,百位,2134,十位,4,个位,31
11164,0,百位,2135,十位,5,个位,32
11165,0,百位,2136,十位,6,个位,33
11166,0,百位,2137,十位,7,个位,34
11167,0,百位,2138,十位,8,个位,35
11168,0,百位,2139,十位,9,个位,36
11169,0,百位,2140,十位,10,个位,37
11170,0,百位,2141,十位,11,个位,0
11171,0,百位,2142,十位,12,个位,1
11172,0,百位,2143,十位,13,个位,2
11173,0,百位,2144,十位,14,个位,3
11174,0,百位,2145,十位,15,个位,4
11175,0,百位,2146,十位,16,个位,0
11176,0,百位,2147,十位,0,个位,1
11177,0,百位,2148,十位,1,个位,2
11178,0,百位,2149,十位,2,个位,3
11179,0,百位,2150,十位,3,个位,0
11180,0,百位,2151,十位,4,个位,1
11181,0,百位,2152,十位,5,个位,2
11182,0,百位,2153,十位,6,个位,3
11183,0,百位,2154,十位,7,个位,4
11185,0,百位,2155,十位,8,个位,5
11186,0,百位,2156,十位,9,个位,6
11187,0,百位,2157,十位,10,个位,7
11188,0,百位,2158,十位,11,个位,8
11190,0,百位,2159,十位,12,个位,9
11191,0,百位,2160,十位,13,个位,10
11192,0,百位,2161,十位,14,个位,11
11193,0,百位,2162,十位,15,个位,12
11194,0,百位,2163,十位,0,个位,0
11195,0,百位,2164,十位,1,个位,1
11196,0,百位,2165,十位,2,个位,2
11197,0,百位,2166,十位,0,个位,3
11198,0,百位,2167,十位,1,个位,4
11200,0,百位,2168,十位,2,个位,5
11201,0,百位,2169,十位,3,个位,6
11202,0,百位,2170,十位,4,个位,7
11203,0,百位,2171,十位,5,个位,8
11204,0,百位,2172,十位,6,个位,9
11205,0,百位,2173,十位,7,个位,10
11206,0,百位,2174,十位,8,个位,11
11207,0,百位,2175,十位,9,个位,12
11208,0,百位,2176,十位,10,个位,13
11209,0,百位,2177,十位,11,个位,14
11210,0,百位,2178,十位,12,个位,15
11211,0,百位,2179,十位,13,个位,16
11212,0,百位,2180,十位,14,个位,17
11213,0,百位,2181,十位,15,个位,18
11214,0,百位,2182,十位,0,个位,19
11215,0,百位,2183,十位,1,个位,20
11216,0,百位,2184,十位,2,个位,21
11217,0,百位,2185,十位,0,个位,22
11218,0,百位,2186,十位,0,个位,23
11219,0,百位,2187,十位,0,个位,24
11220,0,百位,2188,十位,1,个位,25
11221,0,百位,2189,十位,0,个位,26
11222,0,百位,2190,十位,1,个位,27
11223,0,百位,2191,十位,2,个位,28
11224,0,百位,2192,十位,3,个位,29
11225,0,百位,2193,十位,4,个位,30
11226,0,百位,2194,十位,5,个位,31
11227,0,百位,2195,十位,6,个位,32
11228,0,百位,2196,十位,7,个位,33
11229,0,百位,2197,十位,8,个位,34
11230,0,百位,2198,十位,0,个位,35
11231,0,百位,2199,十位,1,个位,36
11232,0,百位,2200,十位,2,个位,37
11233,0,百位,2201,十位,3,个位,38
11235,0,百位,2202,十位,4,个位,39
11236,0,百位,2203,十位,0,个位,40
11237,0,百位,2204,十位,1,个位,41
11239,0,百位,2205,十位,2,个位,42
11241,0,百位,2206,十位,3,个位,43
11242,0,百位,2207,十位,4,个位,44
11243,0,百位,2208,十位,5,个位,45
11244,0,百位,2209,十位,6,个位,46
11245,0,百位,2210,十位,7,个位,47
11247,0,百位,2211,十位,8,个位,0
11248,0,百位,2212,十位,9,个位,0
11249,0,百位,2213,十位,10,个位,1
11250,0,百位,2214,十位,11,个位,2
11251,0,百位,2215,十位,12,个位,3
11252,0,百位,2216,十位,13,个位,4
11253,0,百位,2217,十位,14,个位,5
11254,0,百位,2218,十位,15,个位,0
11255,0,百位,2219,十位,16,个位,1
11256,0,百位,2220,十位,17,个位,2
11257,0,百位,2221,十位,18,个位,3
11258,0,百位,2222,十位,19,个位,4
11259,0,百位,2223,十位,20,个位,0
11260,0,百位,2224,十位,21,个位,1
11261,0,百位,2225,十位,22,个位,2
11262,0,百位,2226,十位,23,个位,3
11263,0,百位,2227,十位,24,个位,4
11264,0,百位,2228,十位,0,个位,5
11265,0,百位,2229,十位,1,个位,6
11266,0,百位,2230,十位,2,个位,7
11267,0,百位,2231,十位,3,个位,8
11268,0,百位,2232,十位,4,个位,9
11269,0,百位,2233,十位,5,个位,10
11270,0,百位,2234,十位,6,个位,11
11272,0,百位,2235,十位,7,个位,12
11273,0,百位,2236,十位,8,个位,13
11274,0,百位,2237,十位,9,个位,14
11276,0,百位,2238,十位,10,个位,15
11277,0,百位,2239,十位,11,个位,0
11277,2,百位,56,十位,12,个位,2
11278,0,百位,2240,十位,12,个位,1
11278,2,百位,57,十位,0,个位,3
11279,0,百位,2241,十位,13,个位,2
11279,2,百位,58,十位,1,个位,4
11280,0,百位,2242,十位,14,个位,3
11280,2,百位,59,十位,2,个位,0
11281,0,百位,2243,十位,15,个位,4
11281,2,百位,60,十位,3,个位,1
11282,0,百位,2244,十位,16,个位,5
11283,0,百位,2245,十位,17,个位,6
11284,0,百位,2246,十位,0,个位,7
11285,0,百位,2247,十位,0,个位,8
11286,0,百位,2248,十位,1,个位,9
11287,0,百位,2249,十位,2,个位,10
11288,0,百位,2250,十位,3,个位,11
11289,0,百位,2251,十位,4,个位,12
11290,0,百位,2252,十位,0,个位,13
11292,0,百位,2253,十位,0,个位,14
11293,0,百位,2254,十位,1,个位,15
11294,0,百位,2255,十位,2,个位,16
11295,0,百位,2256,十位,3,个位,17
11296,0,百位,2257,十位,4,个位,18
11297,0,百位,2258,十位,5,个位,19
11300,0,百位,2259,十位,6,个位,20
11301,0,百位,2260,十位,7,个位,21
11302,0,百位,2261,十位,8,个位,22
11303,0,百位,2262,十位,9,个位,23
11304,0,百位,2263,十位,0,个位,24
11305,0,百位,2264,十位,1,个位,25
11306,0,百位,2265,十位,2,个位,26
11307,0,百位,2266,十位,3,个位,27
11308,0,百位,2267,十位,4,个位,0
11309,0,百位,2268,十位,5,个位,1
11310,0,百位,2269,十位,6,个位,2
11312,0,百位,2270,十位,7,个位,3
11313,0,百位,2271,十位,8,个位,4
11314,0,百位,2272,十位,9,个位,5
11315,0,百位,2273,十位,10,个位,6
11316,0,百位,2274,十位,11,个位,7
11317,0,百位,2275,十位,12,个位,8
11318,0,百位,2276,十位,13,个位,9
11319,0,百位,2277,十位,14,个位,10
11320,0,百位,2278,十位,15,个位,11
